Title,TV Show,Available Globally?,Premiere Year,Hours Viewed (in 1M units)
Seinfeld: Season 6,Yes,Yes,NaN,43.2
Inside Man: Season 1,Yes,Yes,2022,43.1
The Last Kingdom: Season 4,Yes,No,2020,42.9
Through My Window 2: Across the Sea // A través de mi ventana 2: A través del mar,NaN,Yes,2023,42.9
CoComelon: Season 6,Yes,Yes,2022,42.8
Seinfeld: Season 4,Yes,Yes,NaN,42.8
Valeria: Season 3,Yes,Yes,2023,42.8
Pokémon The Series: Indigo League: Season 1 // ポケットモンスター,Yes,No,NaN,42.7
Purple Hearts,NaN,Yes,2022,42.7
The Last Kingdom: Season 3,Yes,Yes,2018,42.7
Waco: American Apocalypse: Limited Series,NaN,Yes,2023,42.7
Gabby's Dollhouse: Season 2,Yes,Yes,2021,42.6
Too Hot to Handle: Season 4,Yes,Yes,2022,42.6
Guillermo del Toro’s Pinocchio,NaN,Yes,2022,42.5
Unlocked // 스마트폰을 떨어뜨렸을 뿐인데,NaN,Yes,2023,42.5
The Crown: Season 1,Yes,Yes,2016,42.4
Arrow: Season 1,Yes,No,NaN,42.3
Blippi's Adventures: Season 1,Yes,Yes,NaN,42.1
The Good Doctor: Season 4,Yes,No,NaN,42.1
Lucifer: Season 6,Yes,No,2021,41.8
"Pamela, a love story",NaN,Yes,2023,41.8
Chor Nikal Ke Bhaga // चोर निकल के भागा,NaN,Yes,2023,41.7
Seinfeld: Season 7,Yes,Yes,NaN,41.7
The Garfield Show: Season 1,Yes,No,NaN,41.5
Agency: Season 1 // 대행사: 시즌 1,Yes,No,NaN,41.4
White Chicks,NaN,No,NaN,41.4
Wellmania: Season 1,Yes,Yes,2023,41.3
Seinfeld: Season 3,Yes,Yes,NaN,41.2
The Creature Cases: Chapter 1,NaN,Yes,2022,41.2
Maestro in Blue: Season 1 // Maestro: Season 1,Yes,Yes,2022,41.1
Turbo (2013),NaN,No,NaN,41.1
McGREGOR FOREVER: Limited Series,NaN,Yes,2023,41.0
Black Money Love: Season 1 // Kara Para Ask: Sezon 1,Yes,No,NaN,40.9
Bloodshot (2020),NaN,No,NaN,40.9
The Flash (2014): Season 8,Yes,No,NaN,40.9
El Chapo: Season 1,Yes,Yes,2017,40.6
Shameless (U.S.): Season 3,Yes,No,NaN,40.6
Demon Slayer: Kimetsu no Yaiba: Swordsmith Village Arc // 鬼滅の刃: 刀鍛冶の里編,NaN,No,NaN,40.5
Jane The Virgin: Season 2,Yes,No,NaN,40.4
The Snitch Cartel: Origins: Season 1 // El cartel de los sapos: El origen: Temporada 1,Yes,No,2021,40.4
Guillermo del Toro's Cabinet of Curiosities: Season 1,Yes,Yes,2022,40.3
Pokémon Journeys: The Series: Season 1,Yes,No,NaN,40.3
Seinfeld: Season 5,Yes,Yes,NaN,40.3
Shrek Forever After,NaN,No,NaN,40.3
The 100: Season 2,Yes,No,NaN,40.3
Unsolved Mysteries: Volume 3,NaN,Yes,2022,40.3
Better Call Saul: Season 3,Yes,No,2017,40.2
The Last Kingdom: Season 2,Yes,Yes,2017,40.2
Too Hot to Handle: Germany: Season 1,Yes,Yes,2023,40.2
Avatar: The Last Airbender: Book 3,NaN,No,NaN,40.1
Our Planet,NaN,Yes,2019,40.1
H2O: Just Add Water: Season 1,Yes,No,NaN,40.0
The King: Eternal Monarch: Season 1 // 더 킹: 영원의 군주: 시즌 1,Yes,Yes,2020,39.9
The Office (U.S.): Season 7,Yes,No,NaN,39.9
Grey's Anatomy: Season 5,Yes,No,NaN,39.8
Emergency: NYC: Season 1,Yes,Yes,2023,39.7
In the Name of God: A Holy Betrayal: Season 1 // 나는 신이다: 신이 배신한 사람들: 시즌 1,Yes,Yes,2023,39.7
Better Call Saul: Season 2,Yes,No,2016,39.5
Gabby's Dollhouse: Season 6,Yes,Yes,2022,39.5
Infiesto,NaN,Yes,2023,39.5
Sanctuary: Season 1 // サンクチュアリ -聖域-: シーズン1,Yes,No,2023,39.4
Suits (2011): Season 8,Yes,No,NaN,39.4
Ganglands: Season 1 // Braqueurs : La série: Saison 1,Yes,Yes,2021,39.3
The Hunger Games,NaN,No,NaN,39.3
Trolley: Limited Series // 트롤리: 리미티드 시리즈,NaN,Yes,2022,39.2
High Heat: Season 1 // Donde hubo fuego: Season 1,Yes,Yes,2022,39.1
Rosario Tijeras (Mexico): Season 3,Yes,No,NaN,38.9
The Sinner: Season 4: Percy,Yes,No,2022,38.9
Avatar: The Last Airbender: Book 2,NaN,No,NaN,38.7
Ozark: Season 4,Yes,Yes,2022,38.7
Shark Tale,NaN,No,NaN,38.7
